slowdown,compensation_descriptor,count,sector,slope,rmcorr,pval,slope_ci95_lower,slope_median,slope_ci95_upper,rmcorr_ci95_lower,rmcorr_median,rmcorr_ci95_upper
12,1,12,left,0.043727923859245274,0.04692056380919824,0.4798519447185723,-0.15799486732207543,0.04428364200817553,0.21784709326053173,-0.1649098802227617,0.04789536502527471,0.23614619590699845
12,1,12,center,0.16564939572247733,0.1402636995237685,0.03388325239512433,-0.18051423821985918,0.16559367132766384,0.5046458202621444,-0.14821385271055093,0.1416798901796635,0.4236582972154016
12,1,12,right,-0.0027753836963731147,-0.002573443948407439,0.9691054722172538,-0.23891631886301273,-0.006895971302986916,0.2973438062399728,-0.2420276122776637,-0.006278985442903001,0.26445074864821144
12,half,13,left,0.016221155358718254,0.01667614901061809,0.7938552449365867,-0.1172188031625758,0.016941896520064934,0.15760637887213297,-0.13264154595461786,0.017575436711711415,0.1755065999156804
12,half,13,center,0.336740945683051,0.2488718568202567,7.433901130550752e-05,-0.009500328061476796,0.33537274490548075,0.686924975791558,-0.007429248950312628,0.24721465996280906,0.5262393239201085
12,half,13,right,0.2156452849297749,0.16977434548262188,0.007371415992407112,-0.1336374239471388,0.21526757740474156,0.5290679682422786,-0.13763070091834972,0.1710383197649119,0.35542414591456867
12,full,12,left,0.10203919395648492,0.07965320664130539,0.2298736794700337,-0.2982642882283571,0.09924303136574208,0.5416049182228292,-0.21716063618287346,0.0773402484771693,0.4150234539202263
12,full,12,center,0.3752997775459038,0.2888197524355069,8.92332316902618e-06,0.057347118939668026,0.37268054897418607,0.773273867407215,0.05372990880116131,0.28868571685506855,0.5255046843651415
12,full,12,right,0.1638632509782485,0.13612055480716886,0.03957141076644257,-0.08012786142722941,0.16418755419888365,0.3952480984015661,-0.08477502285182155,0.13658224986973,0.31058651332235526
20,1,14,left,0.043158885062939606,0.055098044843096994,0.3698433432100048,-0.09504078235326635,0.04013298978325654,0.28445821955480544,-0.12871308552688335,0.05193781429882641,0.3605024881474315
20,1,14,center,0.5053611915532412,0.3279145411290392,4.1242417785269743e-08,0.13927888929171237,0.5037357814318367,0.9213560839462066,0.11374384763034188,0.3294373498011109,0.579652712555689
20,1,14,right,0.04714937502594593,0.054838529155668524,0.37210537063813154,-0.0896099788928487,0.04243684722466104,0.2679967127892095,-0.11091136653616653,0.050197011831254926,0.29936299516885456
20,half,12,left,0.049300725512178796,0.052221459471694105,0.43159429676061734,-0.12984880726372686,0.04841422614131871,0.2495814856059748,-0.14753610790295427,0.051191564534003864,0.24957720145124798
20,half,12,center,0.5635153809943153,0.3828768934381172,2.0706195099111766e-09,0.3534849545189327,0.5586590365060998,0.873614314997617,0.22583640245654277,0.38257633866567786,0.5732878742292556
20,half,12,right,0.14475282941442136,0.1421499085377963,0.03153322269409496,-0.005177959392707206,0.13982375332061941,0.3655509570384952,-0.005489900677376926,0.1379216943342223,0.3326128326523241
20,full,15,left,0.18784658880704064,0.1604768727081916,0.006534648102485453,-0.1771810082371215,0.18706517684690654,0.592031446384741,-0.15780317490200307,0.1603104550138047,0.4758075130223486
20,full,15,center,0.5075881803792915,0.38413241487700783,1.7237511267361874e-11,0.12166608980506087,0.5113660586645433,0.8557903786118194,0.10572417365833324,0.3864236329115154,0.6166718828358229
20,full,15,right,0.11428852906074166,0.09816536733398114,0.09754766762161249,-0.27816797867818877,0.11227422428355761,0.6249499078008317,-0.23820413784399863,0.09706185230443912,0.5022602300029132
